Company Name,Location,Datum,Status Mission
Landspace,"Site 95, Jiuquan Satellite Launch Center, China","Sat Oct 27, 2018 08:00 UTC",Failure
Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Oct 25, 2018 00:15 UTC",Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Oct 24, 2018 22:57 UTC",Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Oct 20, 2018 01:45 UTC",Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Oct 17, 2018 04:15 UTC",Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Oct 15, 2018 04:23 UTC",Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Oct 11, 2018 08:40 UTC",Failure
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Oct 09, 2018 02:43 UTC",Success
SpaceX,"SLC-4E, Vandenberg AFB, California, USA","Mon Oct 08, 2018 02:21 UTC",Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Sat Sep 29, 2018 04:13 UTC",Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Sep 25, 2018 22:38 UTC",Success
MHI,"LA-Y2, Tanegashima Space Center, Japan","Sat Sep 22, 2018 17:52 UTC",Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Sep 19, 2018 14:07 UTC",Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sun Sep 16, 2018 16:38 UTC",Success
ULA,"SLC-2W, Vandenberg AFB, California, USA","Sat Sep 15, 2018 13:02 UTC",Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Sep 10, 2018 04:45 UTC",Success
CASC,"Taiyuan Satellite Launch Center, China","Fri Sep 07, 2018 03:15 UTC",Success
Exos,"Vertical Launch Area, Spaceport America, New Mexico","Sat Aug 25, 2018 18:15 UTC",Partial Failure
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Aug 24, 2018 23:52 UTC",Success
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Wed Aug 22, 2018 21:20 UTC",Success
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sun Aug 12, 2018 07:31 UTC",Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Aug 07, 2018 05:18 UTC",Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Tue Jul 31, 2018 03:00 UTC",Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Jul 29, 2018 01:48 UTC",Success
SpaceX,"SLC-4E, Vandenberg AFB, California, USA","Wed Jul 25, 2018 11:39 UTC",Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jul 25, 2018 11:25 UTC",Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sun Jul 22, 2018 05:50 UTC",Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Wed Jul 18, 2018 15:11 UTC",Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Mon Jul 09, 2018 21:51 UTC",Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Jul 09, 2018 20:50 UTC",Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Jul 09, 2018 03:56 UTC",Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 29, 2018 09:42 UTC",Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Wed Jun 27, 2018 03:30 UTC",Success
